1,Jamaal Charles,RB,KC,RB1
2,LeSean McCoy,RB,PHI,RB2
3,Adrian Peterson,RB,MIN,RB3
4,Matt Forte,RB,CHI,RB4
5,Eddie Lacy,RB,GB,RB5
6,Calvin Johnson,WR,DET,WR1
7,Marshawn Lynch,RB,SEA,RB6
8,Jimmy Graham,TE,NO,TE1
9,LeVeon Bell,RB,PIT,RB7
10,Demaryius Thomas,WR,DEN,WR2
11,Josh Gordon,WR,CLE,WR3
12,A.J. Green,WR,CIN,WR4
13,Doug Martin,RB,TB,RB8
14,DeMarco Murray,RB,DAL,RB9
15,Peyton Manning,QB,DEN,QB1
16,Dez Bryant,WR,DAL,WR5
17,Zac Stacy,RB,STL,RB10
18,Arian Foster,RB,HOU,RB11
19,Brandon Marshall,WR,CHI,WR6
20,Julio Jones,WR,ATL,WR7
21,Alfred Morris,RB,WAS,RB12
22,Aaron Rodgers,QB,GB,QB2
23,Giovani Bernard,RB,CIN,RB13
24,Drew Brees,QB,NO,QB3
25,Reggie Bush,RB,DET,RB14
26,Antonio Brown,WR,PIT,WR8
27,Jordy Nelson,WR,GB,WR9
28,Alshon Jeffery,WR,CHI,WR10
29,Randall Cobb,WR,GB,WR11
30,C.J. Spiller,RB,BUF,RB15
31,Julius Thomas,TE,DEN,TE2
32,Ray Rice,RB,BAL,RB16
33,Keenan Allen,WR,SD,WR12
34,Montee Ball,RB,DEN,RB17
35,Ryan Mathews,RB,SD,RB18
36,DeSean Jackson,WR,PHI,WR13
37,Pierre Garcon,WR,WAS,WR14
38,Rob Gronkowski,TE,NE,TE3
39,Michael Crabtree,WR,SF,WR15
40,Percy Harvin,WR,SEA,WR16
41,Chris Johnson,RB,TEN,RB19
42,Andre Johnson,WR,HOU,WR17
43,Frank Gore,RB,SF,RB20
44,Vincent Jackson,WR,TB,WR18
45,Larry Fitzgerald,WR,ARI,WR19
46,Nick Foles,QB,PHI,QB4
47,Victor Cruz,WR,NYG,WR20
48,Wes Welker,WR,DEN,WR21
49,Knowshon Moreno,RB,DEN,RB21
50,Shane Vereen,RB,NE,RB22
51,Cam Newton,QB,CAR,QB5
52,Andre Ellington,RB,ARI,RB23
53,T.Y. Hilton,WR,IND,WR22
54,Vernon Davis,TE,SF,TE4
55,Roddy White,WR,ATL,WR23
56,Cordarrelle Patterson,WR,MIN,WR24
57,Trent Richardson,RB,IND,RB24
58,Eric Decker,WR,DEN,WR25
59,Ben Tate,RB,HOU,RB25
60,Steven Jackson,RB,ATL,RB26
61,Andrew Luck,QB,IND,QB6
62,Jordan Cameron,TE,CLE,TE5
63,Matthew Stafford,QB,DET,QB7
64,Joique Bell,RB,DET,RB27
65,Maurice Jones-Drew,RB,JAC,RB28
66,Justin Blackmon,WR,JAC,WR26
67,Andre Brown,RB,NYG,RB29
68,Torrey Smith,WR,BAL,WR27
69,Julian Edelman,WR,NE,WR28
70,Jordan Reed,TE,WAS,TE6
71,Reggie Wayne,WR,IND,WR29
72,Jason Witten,TE,DAL,TE7
73,Matt Ryan,QB,ATL,QB8
74,Danny Woodhead,RB,SD,RB30
75,Tom Brady,QB,NE,QB9
76,Marques Colston,WR,NO,WR30
77,Chris Ivory,RB,NYJ,RB31
78,Stevan Ridley,RB,NE,RB32
79,Mike Wallace,WR,MIA,WR31
80,Kendall Wright,WR,TEN,WR32
81,Dennis Pitta,TE,BAL,TE8
82,Rashad Jennings,RB,OAK,RB33
83,Michael Floyd,WR,ARI,WR33
84,Seattle Defense,DEF,SEA,DEF1
85,Darren Sproles,RB,NO,RB34
86,Fred Jackson,RB,BUF,RB35
87,Jeremy Maclin,WR,PHI,WR34
88,Terrance Williams,WR,DAL,WR35
89,Lamar Miller,RB,MIA,RB36
90,Colin Kaepernick,QB,SF,QB10
91,Philip Rivers,QB,SD,QB11
92,LeGarrette Blount,RB,NE,RB37
93,Tavon Austin,WR,STL,WR36
94,Greg Olsen,TE,CAR,TE9
95,Anquan Boldin,WR,SF,WR37
96,Darren McFadden,RB,OAK,RB38
97,Marcus Lattimore,RB,SF,RB39
98,Tony Romo,QB,DAL,QB12
99,Rueben Randle,WR,NYG,WR38
100,James Jones,WR,GB,WR39
101,San Francisco Defense,DEF,SF,DEF2
102,Dwayne Bowe,WR,KC,WR40
103,Donald Brown,RB,IND,RB40
104,Robert Griffin III,QB,WAS,QB13
105,Riley Cooper,WR,PHI,WR41
106,Pierre Thomas,RB,NO,RB41
107,Russell Wilson,QB,SEA,QB14
108,Kyle Rudolph,TE,MIN,TE10
109,Carolina Defense,DEF,CAR,DEF3
110,DeAngelo Williams,RB,CAR,RB42
111,Cecil Shorts,WR,JAC,WR42
112,DeAndre Hopkins,WR,HOU,WR43
113,Jordan Todman,RB,JAC,RB43
114,Jay Cutler,QB,CHI,QB15
115,Danny Amendola,WR,NE,WR44
116,Kansas City Defense,DEF,KC,DEF4
117,Latavius Murray,RB,OAK,RB44
118,Shonn Greene,RB,TEN,RB45
119,Marvin Jones,WR,CIN,WR45
120,Arizona Defense,DEF,ARI,DEF5
121,David Wilson,RB,NYG,RB46
122,Hakeem Nicks,WR,NYG,WR46
123,Martellus Bennett,TE,CHI,TE11
124,Zach Ertz,TE,PHI,TE12
125,Aaron Dobson,WR,NE,WR47
126,Cincinnati Defense,DEF,CIN,DEF6
127,Andy Dalton,QB,CIN,QB16
128,Steve Smith,WR,CAR,WR48
129,St. Louis Defense,DEF,STL,DEF7
130,Ben Roethlisberger,QB,PIT,QB17
131,Stevie Johnson,WR,BUF,WR49
132,Bernard Pierce,RB,BAL,RB47
133,Charles Clay,TE,MIA,TE13
134,Kenny Stills,WR,NO,WR50
135,Danario Alexander,WR,SD,WR51
