Rank,Player,Tm,Fan Pts,Avg Pts,G,FG,FG Att,FG%,XP,XP Att,XPA%,Kick Pts,Max Kick Pts,Punt,Punt Yds,Touchback,year
1,"Akers, David",SF,166,10.4,16,44,52,84.6,34,34,100,166,190,0,0,0,2011
2,"Kasay, John",NO,147,9.2,16,28,34,82.4,63,63,100,147,165,0,0,0,2011
3,"Gostkowski, Stephen",NE,143,8.9,16,28,33,84.8,59,59,100,143,158,0,0,0,2011
4,"Crosby, Mason",GB,140,8.8,16,24,28,85.7,68,69,98.6,140,153,0,0,0,2011
5,"Bailey, Dan",DAL,135,8.4,16,32,37,86.5,39,39,100,135,150,2,4.94,0,2011
6,"Rackers, Neil",HOU,135,8.4,16,32,38,84.2,39,40,97.5,135,154,0,0,0,2011
7,"Nugent, Mike",CIN,132,8.3,16,33,38,86.8,33,34,97.1,132,148,0,0,0,2011
8,"Janikowski, Sebastian",OAK,129,8.6,15,31,35,88.6,36,36,100,129,141,0,0,0,2011
9,"Bryant, Matt",ATL,126,7.9,16,27,29,93.1,45,45,100,126,132,0,0,0,2011
10,"Hanson, Jason",DET,125,7.8,16,24,29,82.8,54,55,98.2,126,142,0,0,0,2011
11,"Cundiff, Billy",BAL,122,8.1,15,28,37,75.7,38,38,100,122,149,0,0,0,2011
12,"Novak, Nick",SD,122,8.1,15,27,34,79.4,41,42,97.6,122,144,0,0,0,2011
13,"Bironas, Rob",TEN,121,7.6,16,29,32,90.6,34,34,100,121,130,0,0,0,2011
14,"Gould, Robbie",CHI,121,7.6,16,28,32,87.5,37,37,100,121,133,0,0,0,2011
15,"Henery, Alex",PHI,118,7.4,16,24,27,88.9,46,46,100,118,127,0,0,0,2011
16,"Gano, Graham",WAS,118,7.4,16,31,41,75.6,25,26,96.2,118,149,0,0,0,2011
17,"Carpenter, Dan",MIA,113,8.1,14,29,34,85.3,26,26,100,113,128,0,0,0,2011
18,"Mare, Olindo",CAR,110,6.9,16,22,28,78.6,44,45,97.8,110,129,0,0,0,2011
19,"Hauschka, Steven",SEA,109,6.8,16,25,30,83.3,34,34,100,109,124,0,0,0,2011
20,"Suisham, Shaun",PIT,105,6.6,16,23,31,74.2,36,36,100,105,129,0,0,0,2011
21,"Longwell, Ryan",MIN,104,6.5,16,22,28,78.6,38,39,97.4,104,123,0,0,0,2011
22,"Barth, Connor",TB,101,6.3,16,26,28,92.9,23,23,100,101,107,0,0,0,2011
23,"Folk, Nick",NYJ,101,6.3,16,19,25,76,44,44,100,101,119,0,0,0,2011
24,"Tynes, Lawrence",NYG,100,6.3,16,19,24,79.2,43,43,100,100,115,0,0,0,2011
25,"Vinatieri, Adam",IND,93,5.8,16,23,27,85.2,24,24,100,93,105,0,0,0,2011
26,"Scobee, Josh",JAX,93,5.8,16,23,25,92,24,24,100,93,99,0,0,0,2011
27,"Succop, Ryan",KC,92,5.8,16,24,30,80,20,20,100,92,110,0,0,0,2011
28,"Dawson, Phil",CLE,92,5.8,16,24,29,82.8,20,20,100,92,107,0,0,0,2011
29,"Feely, Jay",ARI,90,5.6,16,19,24,79.2,33,33,100,90,105,0,0,0,2011
30,"Prater, Matt",DEN,87,5.4,16,19,25,76,30,30,100,87,105,0,0,0,2011
31,"Brown, Josh",STL,81,5.1,16,21,28,75,18,18,100,81,102,0,0,0,2011
32,"Lindell, Rian",BUF,64,8,8,13,15,86.7,25,25,100,64,70,0,0,0,2011
1,"Akers, David",PHI,143,8.9,16,32,38,84.2,47,47,100,143,161,0,0,0,2010
2,"Janikowski, Sebastian",OAK,142,8.9,16,33,41,80.5,43,43,100,142,166,1,2.06,0,2010
3,"Bryant, Matt",ATL,127,7.9,16,28,31,90.3,44,44,100,128,137,0,0,0,2010
4,"Folk, Nick",NYJ,127,7.9,16,30,39,76.9,37,37,100,127,154,0,0,0,2010
5,"Vinatieri, Adam",IND,127,7.9,16,26,28,92.9,51,51,100,129,135,0,0,0,2010
6,"Rackers, Neil",HOU,124,7.8,16,27,30,90,43,43,100,124,133,0,0,0,2010
7,"Cundiff, Billy",BAL,117,7.3,16,26,29,89.7,39,39,100,117,126,0,0,0,2010
8,"Carpenter, Dan",MIA,115,7.2,16,30,41,73.2,25,25,100,115,148,0,0,0,2010
9,"Buehler, David",DAL,114,7.1,16,24,32,75,42,44,95.5,114,140,0,0,0,2010
