1,"Foster, Arian",HOU,317,19.8,16,13,327,1616,4.9,16,66,604,2,0,0,393,2220,2220,18,0,2,2010
2,"Peterson, Adrian",MIN,234,15.6,15,15,283,1298,4.6,12,36,341,1,0,0,319,1639,1639,13,0,1,2010
3,"Hillis, Peyton",CLE,228,14.3,16,13,270,1177,4.4,11,61,477,2,13,0,331,1667,1654,13,0,5,2010
4,"Johnson, Chris",TEN,220,13.8,16,16,316,1364,4.3,11,44,245,1,0,0,360,1609,1609,12,0,2,2010
5,"McFadden, Darren",OAK,214,16.5,13,13,223,1157,5.2,7,47,507,3,0,0,270,1664,1664,10,0,3,2010
6,"Turner, Michael",ATL,209,13.1,16,15,334,1371,4.1,12,12,85,0,0,0,346,1456,1456,12,0,2,2010
7,"McCoy, LeSean",PHI,208,13.9,15,13,207,1080,5.2,7,78,592,2,0,0,285,1672,1672,9,0,1,2010
8,"Mendenhall, Rashard",PIT,208,13,16,16,324,1273,3.9,13,23,167,0,0,0,347,1440,1440,13,0,2,2010
9,"Charles, Jamaal",KC,204,13.6,15,6,208,1290,6.2,5,41,407,3,0,0,249,1697,1697,8,0,2,2010
10,"Forte, Matt",CHI,203,12.7,16,16,237,1069,4.5,6,51,547,3,0,0,288,1616,1616,9,1,2,2010
11,"Rice, Ray",BAL,200,12.5,16,15,307,1220,4,5,63,556,1,0,0,370,1776,1776,6,0,0,2010
12,"Bradshaw, Ahmad",NYG,191,11.9,16,11,276,1235,4.5,8,47,314,0,0,0,323,1549,1549,8,1,6,2010
13,"Jones-Drew, Maurice",JAX,190,13.6,14,14,299,1324,4.4,5,34,317,2,0,0,333,1641,1641,7,0,2,2010
14,"Jackson, Steven",STL,184,11.5,16,16,330,1241,3.8,6,46,383,0,0,0,376,1624,1624,6,0,1,2010
15,"Green-Ellis, BenJarvus",NE,176,11,16,11,229,1008,4.4,13,12,85,0,0,0,241,1093,1093,13,0,0,2010
16,"Benson, Cedric",CIN,168,10.5,16,16,321,1111,3.5,7,28,178,1,0,0,349,1289,1289,8,1,5,2010
17,"Tolbert, Michael",SD,154,10.3,15,4,182,735,4,11,25,216,0,0,0,207,951,951,11,1,3,2010
18,"Moreno, Knowshon",DEN,154,11.8,13,13,182,779,4.3,5,37,372,3,0,0,219,1151,1151,8,0,2,2010
19,"Gore, Frank",SF,151,13.7,11,11,203,853,4.2,3,46,452,2,0,0,249,1305,1305,5,0,2,2010
20,"Tomlinson, LaDainian",NYJ,148,9.9,15,12,219,914,4.2,6,52,368,0,0,0,271,1282,1282,6,0,0,2010
21,"Jackson, Fred",BUF,146,9.1,16,13,222,927,4.2,5,31,215,2,0,0,253,1142,1142,7,0,2,2010
22,"Blount, LeGarrette",TB,132,10.2,13,7,201,1007,5,6,5,14,0,0,0,206,1021,1021,6,0,3,2010
23,"Best, Jahvid",DET,129,8.6,15,10,171,555,3.2,4,58,487,2,0,0,229,1042,1042,6,0,1,2010
24,"Jones, Thomas",KC,128,8,16,9,245,896,3.7,6,14,122,0,0,0,259,1018,1018,6,0,1,2010
25,"Jones, Felix",DAL,125,7.8,16,6,185,800,4.3,1,48,450,1,0,0,233,1250,1250,2,0,1,2010
26,"Woodhead, Danny",NYJ,119,7.9,15,3,97,547,5.6,5,34,379,1,0,0,131,926,926,6,0,1,2010
27,"Jacobs, Brandon",NYG,118,7.9,15,5,138,788,5.7,7,7,59,0,0,0,145,847,847,7,0,2,2010
28,"Brown, Ronnie",MIA,116,7.3,16,16,200,734,3.7,5,33,242,0,0,0,233,976,976,5,0,2,2010
29,"Torain, Ryan",WAS,116,11.6,10,8,164,742,4.5,4,18,125,2,0,0,182,867,867,6,0,1,2010
30,"Bush, Michael",OAK,113,8.7,13,3,151,615,4.1,7,16,178,0,0,0,167,793,793,7,0,0,2010
31,"Jackson, Brandon",GB,112,7,16,13,190,703,3.7,3,43,342,1,0,0,233,1045,1045,4,0,0,2010
32,"Lynch, Marshawn",BUF,111,6.9,16,14,202,737,3.6,6,22,145,0,0,0,224,882,882,6,0,4,2010
33,"Hightower, Tim",ARI,107,6.7,16,12,153,736,4.8,5,21,136,0,0,0,174,872,872,5,0,4,2010
34,"Mathews, Ryan",SD,100,9.1,11,10,146,623,4.3,6,19,117,0,0,0,165,740,740,6,0,3,2010
