Rank,Player,Tm,Tot Pts,Avg Pts,G,GS,Rec,Tar,Rec Yds,Rec Avg,Rec TD,Run Att,Run Yds,Run TD,Pass TD,Off Yds,Tot Tchs,Tot TD,2pt,FumL,year

1,"Witten, Jason",DAL,148,9.3,16,16,94,128,1002,10.7,9,0,0,0,0,1002,94,9,1,1,2010
2,"Gates, Antonio",SD,134,13.4,10,10,50,65,782,15.6,10,0,0,0,0,782,50,10,0,0,2010
3,"Davis, Vernon",SF,129,8.1,16,16,56,93,914,16.3,7,0,0,0,0,914,56,7,1,0,2010
4,"Lewis, Marcedes",JAX,123,7.7,16,16,58,88,700,12.1,10,0,0,0,0,700,58,10,0,2,2010
5,"Gronkowski, Rob",NE,109,7.3,15,9,41,58,542,13.2,10,0,0,0,0,542,41,10,0,1,2010
6,"Cooley, Chris",WAS,98,6.1,16,15,77,126,849,11,3,0,0,0,0,849,77,3,1,1,2010
7,"Winslow, Kellen",TB,96,6,16,11,66,98,730,11.1,5,0,0,0,0,730,66,5,0,0,2010
8,"Gonzalez, Tony",ATL,93,6.2,15,15,68,107,637,9.4,6,0,0,0,0,637,68,6,0,0,2010
9,"Miller, Zach",OAK,90,6,15,15,60,92,685,11.4,5,0,0,0,0,685,60,5,0,0,2010
10,"Hernandez, Aaron",NE,89,6.4,14,7,45,64,563,12.5,6,3,47,0,0,610,48,6,0,0,2010
11,"Keller, Dustin",NYJ,89,5.6,16,14,55,101,687,12.5,5,0,0,0,0,687,55,5,0,0,2010
12,"Watson, Benjamin",CLE,88,5.9,15,15,67,89,755,11.3,3,1,-1,0,0,754,68,3,0,0,2010
13,"Pettigrew, Brandon",DET,88,5.5,16,16,71,111,722,10.2,4,0,0,0,0,722,71,4,0,0,2010
14,"Heap, Todd",BAL,83,6.4,13,13,40,64,599,15,5,0,0,0,0,599,40,5,0,0,2010
15,"Boss, Kevin",NYG,77,5.1,15,13,35,67,531,15.2,5,0,0,0,0,531,35,5,0,1,2010
16,"Fasano, Anthony",MIA,71,4.7,15,14,39,60,528,13.5,4,0,0,0,0,528,39,4,0,0,2010
17,"Dreessen, Joel",HOU,70,4.4,16,10,36,55,518,14.4,4,0,0,0,0,518,36,4,0,1,2010
18,"Celek, Brent",PHI,69,4.3,16,15,42,80,511,12.2,4,0,0,0,0,511,42,4,0,0,2010
19,"Moeaki, Tony",KC,68,4.5,15,15,47,74,556,11.8,3,0,0,0,0,556,47,3,0,0,2010
20,"Gresham, Jermaine",CIN,66,4.4,15,10,52,83,471,9.1,4,0,0,0,0,471,52,4,1,1,2010
21,"Olsen, Greg",CHI,62,3.9,16,13,41,68,404,9.9,5,0,0,0,0,404,41,5,0,1,2010
22,"Graham, Jimmy",NO,61,4.1,15,5,31,44,356,11.5,5,1,3,0,0,359,32,5,0,0,2010
23,"Miller, Heath",PIT,58,4.1,14,14,42,60,512,12.2,2,0,0,0,0,512,42,2,0,1,2010
24,"Tamme, Jacob",IND,57,4.1,14,6,54,75,489,9.1,2,0,0,0,0,489,54,2,0,0,2010
25,"Shiancoe, Visanthe",MIN,57,3.6,16,10,47,80,530,11.3,2,0,0,0,0,530,47,2,0,0,2010
26,"Shockey, Jeremy",NO,53,4.1,13,11,41,59,408,10,3,0,0,0,0,408,41,3,0,0,2010
27,"Scaife, Bo",TEN,52,3.7,14,12,36,52,318,8.8,4,0,0,0,0,318,36,4,0,1,2010
28,"Clark, Dallas",IND,51,8.5,6,6,37,53,347,9.4,3,0,0,0,0,347,37,3,0,0,2010
29,"Fells, Daniel",STL,43,2.7,16,6,41,62,391,9.5,2,0,0,0,0,391,41,2,0,0,2010
30,"Daniels, Owen",HOU,40,4,10,9,30,53,398,13.3,1,0,0,0,0,398,30,1,0,0,2010
31,"Scheffler, Tony",DET,39,2.6,15,4,45,72,378,8.4,1,0,0,0,0,378,45,1,0,1,2010
32,"Davis, Fred",WAS,38,2.5,15,8,18,28,291,16.2,2,0,0,0,0,291,18,2,0,0,2010
33,"Cook, Jared",TEN,37,2.3,16,1,29,45,361,12.4,1,0,0,0,0,361,29,1,0,0,2010
34,"Finley, Jermichael",GB,34,5.7,6,5,21,26,301,14.3,1,0,0,0,0,301,21,1,0,0,2010
35,"Moore, Evan",CLE,33,3,11,3,16,26,322,20.1,1,0,0,0,0,322,16,1,0,1,2010
36,"Carlson, John",SEA,32,2.1,15,13,31,57,318,10.3,1,0,0,0,0,318,31,1,0,0,2010
37,"Thomas, David",NO,30,2.3,13,7,30,46,219,7.3,2,0,0,0,0,219,30,2,0,0,2010
38,"Hoomanawanui, Michael",STL,29,3.6,8,3,13,22,146,11.2,3,0,0,0,0,146,13,3,0,0,2010
39,"McMichael, Randy",SD,29,1.9,15,9,20,25,221,11.1,2,0,0,0,0,221,20,2,0,0,2010
40,"Walker, Delanie",SF,27,1.9,14,6,29,45,331,11.4,0,3,18,0,0,349,32,0,0,1,2010
41,"Quarless, Andrew",GB,26,2,13,4,21,33,238,11.3,1,0,0,0,0,238,21,1,0,1,2010
42,"Lee, Donald",GB,23,1.6,14,6,10,11,74,7.4,3,0,0,0,0,74,10,3,0,1,2010
43,"Bajema, Billy",STL,23,1.8,13,8,14,24,145,10.4,2,0,0,0,0,145,14,2,0,0,2010
44,"Miller, Zach",JAX,22,1.5,15,5,20,26,216,10.8,1,2,9,0,0,225,22,1,0,0,2010
45,"Obomanu, Ben",SEA,21,10.5,2,2,9,11,147,16.3,1,2,17,0,0,164,11,1,0,0,2010
46,"Beckum, Travis",NYG,20,1.3,16,3,13,17,116,8.9,2,0,0,0,0,116,13,2,0,0,2010
47,"Pope, Leonard",KC,19,1.2,16,6,10,18,76,7.6,2,0,0,0,0,76,10,2,0,0,2010
48,"Rosario, Dante",CAR,19,1.3,15,4,31,53,261,8.4,0,1,-2,0,0,259,32,0,0,0,2010
49,"Bennett, Martellus",DAL,18,1.3,14,8,28,41,223,8,0,0,0,0,0,223,28,0,0,0,2010
50,"Gilmore, John",TB,18,1.1,16,11,13,18,160,12.3,1,0,0,0,0,160,13,1,0,0,2010
51,"Dickson, Ed",BAL,17,1.1,15,3,11,23,152,13.8,1,0,0,0,0,152,11,1,0,0,2010
52,"Crumpler, Alge",NE,15,1,15,10,6,10,52,8.7,2,0,0,0,0,52,6,2,0,0,2010
53,"Baker, Chris",SEA,14,0.9,15,12,8,18,108,13.5,1,0,0,0,0,108,8,1,0,0,2010
54,"Peelle, Justin",ATL,13,1.1,12,7,8,13,85,10.6,1,0,0,0,0,85,8,1,0,0,2010
55,"King, Jeff",CAR,13,0.9,14,13,18,31,105,5.8,1,0,0,0,0,105,18,1,0,0,2010
56,"Spaeth, Matt",PIT,12,0.9,13,10,9,18,80,8.9,1,0,0,0,0,80,9,1,0,0,2010
57,"Stevens, Craig",TEN,12,0.9,14,12,9,20,93,10.3,1,0,0,0,0,93,9,1,0,0,2010
58,"Harbor, Clay",PHI,11,1.2,9,6,9,15,72,8,1,0,0,0,0,72,9,1,0,0,2010
59,"Patrick, Ben",ARI,10,0.7,15,7,15,18,123,8.2,0,0,0,0,0,123,15,0,0,0,2010
60,"Thomas, Mike",JAX,10,10,1,1,4,4,41,10.3,1,1,9,0,0,50,5,1,0,0,2010
61,"Graham, Daniel",DEN,10,0.6,16,15,18,35,148,8.2,0,0,0,0,0,148,18,0,0,0,2010
62,"Royal, Robert",CLE,10,0.7,14,3,5,8,56,11.2,1,0,0,0,0,56,5,1,0,0,2010
63,"Kleinsasser, Jim",MIN,10,0.7,15,5,17,21,148,8.7,0,0,0,0,0,148,17,0,0,0,2010
64,"Martin, David",BUF,9,0.6,15,9,7,8,43,6.1,1,0,0,0,0,43,7,1,0,0,2010
65,"Stupar, Jonathan",BUF,8,0.5,16,3,12,13,111,9.3,0,0,0,0,0,111,12,0,0,0,2010
66,"Palmer, Michael",ATL,8,0.6,13,1,5,7,29,5.8,1,0,0,0,0,29,5,1,0,0,2010
67,"Morrah, Cameron",SEA,8,0.6,14,2,8,16,111,13.9,0,0,0,0,0,111,8,0,0,0,2010
68,"Heller, Will",DET,8,0.5,15,6,4,5,37,9.3,1,0,0,0,0,37,4,1,0,0,2010
69,"Casey, James",HOU,7,0.4,16,4,8,13,98,12.3,0,0,0,0,0,98,8,0,0,0,2010
70,"Parrish, Roscoe",BUF,7,7,1,1,4,8,66,16.5,0,1,13,0,0,79,5,0,0,0,2010
71,"Davis, Kellen",CHI,7,0.5,15,3,1,2,19,19,1,0,0,0,0,19,1,1,0,0,2010
72,"Robinson, Gijon",IND,6,0.5,11,2,3,7,12,4,1,0,0,0,0,12,3,1,0,0,2010
73,"Barnes, Khalif",OAK,6,3,2,2,1,1,2,2,1,0,0,0,0,2,1,1,0,0,2010
74,"Paulsen, Logan",WAS,6,0.6,10,0,2,2,10,5,1,0,0,0,0,10,2,1,0,0,2010
75,"Crabtree, Tom",GB,5,0.3,16,1,4,7,61,15.3,0,0,0,0,0,61,4,0,0,0,2010
76,"Myers, Brandon",OAK,5,0.4,14,2,11,15,80,7.3,0,0,0,0,0,80,11,0,0,0,2010
77,"Sperry, Kory",SD,4,0.7,6,0,2,2,52,26,0,0,0,0,0,52,2,0,0,0,2010
78,"Gronkowski, Dan",DEN,3,0.3,11,3,7,10,56,8,0,0,0,0,0,56,7,0,0,0,2010
79,"Purvis, Ryan",TB,3,0.3,10,2,5,6,38,7.6,0,0,0,0,0,38,5,0,0,0,2010
80,"Coffman, Chase",CIN,3,0.5,6,0,3,5,30,10,0,0,0,0,0,30,3,0,0,0,2010
81,"Dray, Jim",ARI,3,0.2,16,3,3,9,47,15.7,0,0,0,0,0,47,3,0,0,0,2010
82,"Stevens, Jerramy",TB,3,0.8,4,1,3,5,43,14.3,0,0,0,0,0,43,3,0,0,0,2010
83,"Caldwell, Andre",CIN,3,3,1,1,4,7,33,8.3,0,0,0,0,0,33,4,0,0,0,2010
84,"Potter, Zach",JAX,2,0.2,12,1,3,8,24,8,0,0,0,0,0,24,3,0,0,0,2010
85,"O'Connell, Jake",KC,2,0.1,15,2,3,4,31,10.3,0,0,0,0,0,31,3,0,0,0,2010
86,"Sellers, Mike",WAS,2,0.7,3,3,3,7,32,10.7,0,0,0,0,0,32,3,0,0,0,2010
87,"Mills, Garrett",PHI,1,0.1,7,3,2,3,19,9.5,0,0,0,0,0,19,2,0,0,0,2010
88,"Kelly, Reggie",CIN,1,0.1,15,13,10,12,42,4.2,0,0,0,0,0,42,10,0,0,0,2010
89,"Gage, Justin",TEN,1,1,1,1,3,9,18,6,0,0,0,0,0,18,3,0,0,0,2010
90,"Humphrey, Tory",NO,1,0.2,5,1,1,2,12,12,0,0,0,0,0,12,1,0,0,0,2010
91,"Fiammetta, Tony",CAR,1,0.5,2,2,1,3,2,2,0,1,11,0,0,13,2,0,0,0,2010
92,"Walker, Derek",SF,1,1,1,0,3,4,17,5.7,0,0,0,0,0,17,3,0,0,0,2010
93,"Nelson, Shawn",BUF,1,0.2,5,1,3,4,25,8.3,0,0,0,0,0,25,3,0,0,1,2010
94,"Pascoe, Bear",NYG,1,0.1,7,3,3,5,17,5.7,0,0,0,0,0,17,3,0,0,0,2010
95,"Onobun, Fendi",STL,1,0.5,2,0,2,4,15,7.5,0,0,0,0,0,15,2,0,0,0,2010
96,"Clark, Desmond",CHI,1,0.2,5,0,1,2,12,12,0,0,0,0,0,12,1,0,0,0,2010
97,"Dugan, Jeff",MIN,1,0.1,16,4,4,5,30,7.5,0,2,2,0,0,32,6,0,0,0,2010
98,"Spach, Stephen",ARI,1,0.1,14,10,7,17,40,5.7,0,0,0,0,0,40,7,0,0,0,2010
99,"Strief, Zach",NO,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
100,"Otto, Mike",TEN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
101,"Cousins, Oniel",BAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
102,"McCoy, Anthony",SEA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
103,"Pitta, Dennis",BAL,0,0,11,0,1,5,1,1,0,0,0,0,0,1,1,0,0,0,2010
104,"Byham, Nate",SF,0,0,14,3,5,7,27,5.4,0,0,0,0,0,27,5,0,0,0,2010
105,"McClendon, Jacques",IND,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
106,"Ballard, Jake",NYG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
107,"Collins, Anthony",CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
108,"Andrews, Shawn",NYG,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
109,"Foschi, J.P.",CIN,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
110,"Havner, Spencer",GB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
111,"Chandler, Scott",DAL,0,0,13,1,1,3,8,8,0,0,0,0,0,8,1,0,0,0,2010
112,"Barnidge, Gary",CAR,0,0,15,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2010
113,"Quinn, Richard",DEN,0,0,13,3,1,2,9,9,0,0,0,0,0,9,1,0,0,0,2010
114,"Dunlap, Carlos",CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
115,"Mastrud, Jeron",MIA,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
116,"Cumberland, Jeff",NYJ,0,0,1,0,1,2,3,3,0,0,0,0,0,3,1,0,0,0,2010
117,"Collins, Anthony",CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
118,"Snow, Justin",IND,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
119,"Norris, Moran",SF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
120,"Wilson, Kris",SD,0,0,11,4,5,8,36,7.2,0,0,0,0,0,36,5,0,0,1,2010
121,"Hadnot, Rex",ARI,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
122,"Chester, Chris",BAL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
123,"Roland, Dennis",CIN,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
124,"Moll, Tony",BAL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
125,"Coats, Daniel",CIN,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2010
126,"Mulligan, Matthew",NYJ,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
127,"Murtha, Lydon",MIA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
128,"Johnson, David",PIT,0,0,9,1,1,2,9,9,0,0,0,0,0,9,1,0,0,0,2010
129,"Lorig, Erik",TB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
130,"Baker, Chris",SEA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
131,"Spikes, Takeo",SF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
132,"Manumaleuna, Brandon",CHI,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
133,"Hunter, Wayne",NYJ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
134,"Hartsock, Ben",NYJ,0,0,15,5,1,3,7,7,0,0,0,0,0,7,1,0,0,0,2010
135,"Terrill, Craig",SEA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
136,"Smith, Alex",CLE,0,0,3,1,1,1,6,6,0,0,0,0,0,6,1,0,0,0,2010
137,"Johnson, Darcy",STL,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2010
138,"Koets, Adam",NYG,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
139,"Schouman, Derek",STL,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
140,"Collins, Anthony",CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
141,"Rucker, Martin",DAL,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
142,"Banks, Gary",SD,0,0,1,1,1,1,2,2,0,0,0,0,0,2,1,0,0,0,2010
143,"Nalbone, John",MIA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
144,"Cloherty, Colin",SF,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
145,"Graham, Garrett",HOU,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
146,"Eldridge, Brody",IND,0,0,8,2,2,4,16,8,0,0,0,0,0,16,2,0,0,0,2010
147,"Shuler, Mickey",MIA,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
148,"Lewko, Jake",TEN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
149,"Jennings, Brian",SF,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
150,"Hochstein, Russ",DEN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
151,"Wilford, Ernest",JAX,0,0,2,0,1,2,3,3,0,0,0,0,0,3,1,0,0,0,2010
1,"Gronkowski, Rob",NE,233,14.6,16,16,90,124,1327,14.7,17,1,2,1,0,1329,91,18,0,0,2011
2,"Graham, Jimmy",NO,189,11.8,16,11,99,149,1310,13.2,11,0,0,0,0,1310,99,11,0,1,2011
